Date,Price,Open,High,Low,Vol.,Change %
2021-07-10,"33,510.60","33,797.70","34,221.00","33,056.80",50.94K,-0.85%
2021-07-09,"33,797.40","32,866.30","34,079.20","32,367.00",67.14K,2.83%
2021-07-08,"32,866.30","33,859.40","33,923.20","32,146.90",108.09K,-2.96%
2021-07-07,"33,867.80","34,228.70","35,036.60","33,801.30",72.03K,-1.05%
2021-07-06,"34,225.60","33,688.50","35,062.00","33,581.70",83.63K,1.60%
2021-07-05,"33,687.80","35,297.00","35,300.50","33,164.10",88.36K,-4.56%
2021-07-04,"35,298.20","34,742.80","35,957.60","34,740.10",56.13K,1.60%
2021-07-03,"34,742.80","33,814.20","34,909.80","33,363.30",55.69K,2.75%
2021-07-02,"33,813.40","33,542.20","33,925.90","32,734.60",78.93K,0.80%
2021-07-01,"33,543.60","35,030.70","35,032.70","32,839.20",27.41K,-4.23%
2021-06-30,"35,026.90","35,832.60","36,089.50","34,126.60",107.07K,-2.25%
2021-06-29,"35,834.70","34,477.30","36,590.30","34,247.60",97.27K,3.94%
2021-06-28,"34,475.90","34,682.20","35,231.20","33,944.90",112.00K,-0.58%
2021-06-27,"34,678.50","32,247.10","34,685.50","32,041.70",148.80K,7.55%
2021-06-26,"32,243.40","31,592.10","32,643.00","30,206.90",156.67K,2.06%
2021-06-25,"31,594.00","34,660.50","35,490.90","31,337.90",193.43K,-8.86%
2021-06-24,"34,665.80","33,678.10","35,249.90","32,356.70",119.25K,2.94%
2021-06-23,"33,674.30","32,498.30","34,784.30","31,736.50",173.34K,3.62%
2021-06-22,"32,496.40","31,682.70","33,272.50","28,901.80",309.65K,2.54%
2021-06-21,"31,692.00","35,597.90","35,708.40","31,284.10",256.87K,-10.97%
2021-06-20,"35,595.80","35,510.90","36,097.90","33,378.00",137.48K,0.23%
2021-06-19,"35,513.40","35,770.00","36,357.30","34,845.50",105.46K,-0.66%
2021-06-18,"35,749.40","38,045.50","38,166.00","35,198.50",102.84K,-6.05%
2021-06-17,"38,052.00","38,337.80","39,529.90","37,425.30",109.58K,-0.74%
2021-06-16,"38,336.00","40,148.10","40,494.40","38,156.40",123.52K,-4.53%
2021-06-15,"40,156.10","40,522.50","41,318.00","39,589.90",117.55K,-0.92%
2021-06-14,"40,529.40","39,024.10","40,970.40","38,769.90",157.35K,3.86%
2021-06-13,"39,022.90","35,467.50","39,321.60","34,827.00",123.32K,10.02%
2021-06-12,"35,467.50","37,334.40","37,437.30","34,703.30",87.73K,-4.95%
2021-06-11,"37,314.60","36,654.30","37,641.10","36,003.30",109.15K,1.81%
2021-06-10,"36,649.40","37,375.20","38,340.80","35,824.00",154.32K,-1.83%
2021-06-09,"37,332.20","33,385.50","37,517.60","32,428.60",209.82K,11.83%
2021-06-08,"33,382.90","33,574.60","34,047.80","31,158.10",193.54K,-0.58%
2021-06-07,"33,578.00","35,815.40","36,754.60","33,410.10",119.50K,-6.25%
2021-06-06,"35,815.40","35,518.70","36,434.00","35,265.30",62.20K,0.83%
2021-06-05,"35,520.00","36,841.20","37,887.60","34,832.00",101.48K,-3.61%
2021-06-04,"36,851.30","39,191.40","39,255.40","35,659.90",127.71K,-5.96%
2021-06-03,"39,187.30","37,555.70","39,462.30","37,193.60",106.44K,4.34%
2021-06-02,"37,555.80","36,687.70","38,199.90","35,981.10",96.89K,2.37%
2021-06-01,"36,687.60","37,294.30","37,850.30","35,742.70",113.48K,-1.64%
2021-05-31,"37,298.60","35,644.00","37,480.70","34,213.20",131.70K,4.62%
2021-05-30,"35,652.80","34,589.30","36,388.60","33,441.00",104.18K,3.09%
2021-05-29,"34,584.60","35,664.50","37,227.10","33,664.20",160.43K,-3.02%
2021-05-28,"35,662.50","38,543.20","38,844.10","34,772.40",199.58K,-7.17%
2021-05-27,"38,417.30","39,249.00","40,322.20","37,190.80",122.93K,-2.12%
2021-05-26,"39,249.20","38,375.70","40,750.00","37,847.00",153.80K,2.27%
2021-05-25,"38,378.30","38,753.60","39,740.80","36,540.70",163.01K,-0.96%
2021-05-24,"38,750.60","34,720.30","39,851.70","34,474.60",244.88K,11.74%
2021-05-23,"34,679.70","37,446.80","38,248.70","31,192.40",325.73K,-7.39%
2021-05-22,"37,448.30","37,291.00","38,776.00","35,314.90",185.83K,0.40%
2021-05-21,"37,297.40","40,611.20","42,108.30","33,592.30",315.50K,-8.40%
2021-05-20,"40,717.20","36,706.80","42,425.90","35,010.40",269.75K,10.88%
2021-05-19,"36,720.50","42,898.30","43,516.60","30,261.70",607.10K,-14.40%
2021-05-18,"42,897.30","43,538.50","45,770.90","42,293.90",154.96K,-1.48%
2021-05-17,"43,541.30","46,424.20","46,545.40","42,201.50",274.76K,-6.21%
2021-05-16,"46,426.40","46,729.30","49,764.30","43,920.80",180.07K,-0.60%
2021-05-15,"46,708.80","49,839.10","50,640.90","46,650.20",131.91K,-6.28%
2021-05-14,"49,839.80","49,704.90","51,459.20","48,874.00",118.84K,0.27%
2021-05-13,"49,704.60","49,398.20","51,337.30","46,331.10",236.71K,0.65%
2021-05-12,"49,384.20","56,694.50","57,938.50","49,187.00",160.74K,-12.90%
2021-05-11,"56,695.70","55,846.10","56,871.10","54,550.40",96.47K,1.52%
2021-05-10,"55,848.90","58,251.20","59,523.90","53,678.30",142.61K,-4.10%
2021-05-09,"58,238.30","58,840.60","59,227.00","56,414.40",103.59K,-1.02%
2021-05-08,"58,840.10","57,330.30","59,471.10","56,972.20",101.27K,2.62%
2021-05-07,"57,337.20","56,411.40","58,639.30","55,300.10",110.01K,1.65%
2021-05-06,"56,405.40","57,441.00","58,364.90","55,294.50",109.02K,-1.80%
2021-05-05,"57,441.30","53,872.50","57,936.40","53,872.50",119.82K,6.88%
2021-05-04,"53,741.50","57,170.60","57,201.30","53,741.50",132.33K,-6.00%
2021-05-03,"57,169.80","56,605.80","58,925.10","56,562.40",89.24K,1.00%
2021-05-02,"56,603.80","57,807.20","57,868.40","56,110.50",53.61K,-2.08%
2021-05-01,"57,807.10","57,719.10","58,449.40","57,029.50",63.41K,0.15%
2021-04-30,"57,720.30","53,562.30","57,925.60","53,088.70",103.74K,7.77%
2021-04-29,"53,560.80","54,838.60","55,173.70","52,400.00",83.90K,-2.34%
2021-04-28,"54,841.40","55,036.00","56,419.90","53,876.40",86.96K,-0.35%
2021-04-27,"55,036.50","54,011.10","55,427.80","53,345.00",84.08K,1.88%
