Date,Price,Open,High,Low,Vol.,Change %
2021-07-10,1.335667,1.349646,1.365446,1.318338,158.19M,-1.02%
2021-07-09,1.349457,1.332361,1.372124,1.290265,256.51M,1.28%
2021-07-08,1.332361,1.403818,1.406031,1.329416,243.36M,-5.09%
2021-07-07,1.403788,1.416312,1.440092,1.400184,214.64M,-0.88%
2021-07-06,1.416315,1.404049,1.456571,1.39245,231.11M,0.87%
2021-07-05,1.404092,1.461305,1.461449,1.378376,295.33M,-3.94%
2021-07-04,1.461623,1.420936,1.494345,1.420712,291.73M,2.86%
2021-07-03,1.420936,1.395478,1.440685,1.358768,337.75M,1.82%
2021-07-02,1.395476,1.333002,1.395578,1.286069,374.91M,4.69%
2021-07-01,1.333002,1.383798,1.384003,1.303681,356.70M,-3.67%
2021-06-30,1.383782,1.371166,1.398391,1.286538,472.70M,0.92%
2021-06-29,1.371166,1.326043,1.419561,1.319506,466.56M,3.51%
2021-06-28,1.324686,1.336319,1.34909,1.304421,403.52M,-0.81%
2021-06-27,1.335523,1.25166,1.347845,1.241291,429.63M,6.70%
2021-06-26,1.25166,1.254665,1.291016,1.19852,634.25M,-0.24%
2021-06-25,1.254732,1.357038,1.395833,1.244899,943.95M,-7.54%
2021-06-24,1.357038,1.25057,1.39731,1.202887,446.00M,8.51%
2021-06-23,1.250572,1.151981,1.306465,1.109989,963.81M,8.56%
2021-06-22,1.151981,1.175748,1.262511,1.001011,462.25M,-2.02%
2021-06-21,1.175748,1.426887,1.426887,1.168048,841.29M,-17.60%
2021-06-20,1.426877,1.385596,1.426877,1.306566,436.50M,2.98%
2021-06-19,1.385523,1.412691,1.440531,1.383759,323.50M,-1.94%
2021-06-18,1.412945,1.480926,1.49257,1.375567,386.36M,-4.60%
2021-06-17,1.481025,1.484275,1.538041,1.457983,311.28M,-0.16%
2021-06-16,1.483329,1.556441,1.574656,1.474576,385.43M,-4.70%
2021-06-15,1.556513,1.575679,1.610409,1.54482,382.73M,-1.23%
2021-06-14,1.575848,1.558489,1.593421,1.508744,495.19M,1.10%
2021-06-13,1.558645,1.477265,1.579148,1.400833,594.54M,5.52%
2021-06-12,1.477178,1.436233,1.492281,1.357757,566.56M,2.87%
2021-06-11,1.436004,1.531531,1.545059,1.419333,442.16M,-6.24%
2021-06-10,1.531499,1.62491,1.636207,1.508536,420.71M,-5.74%
2021-06-09,1.624769,1.582144,1.632885,1.484039,615.75M,2.50%
2021-06-08,1.585148,1.56518,1.59462,1.402291,779.94M,1.33%
2021-06-07,1.564406,1.675336,1.740869,1.552949,65.27M,-6.63%
2021-06-06,1.675504,1.658024,1.704962,1.646338,275.21M,1.05%
2021-06-05,1.658058,1.709081,1.781766,1.611474,473.63M,-2.98%
2021-06-04,1.709007,1.844313,1.847545,1.611868,777.49M,-7.35%
2021-06-03,1.844539,1.753119,1.888235,1.71706,550.63M,5.22%
2021-06-02,1.753108,1.735191,1.802463,1.719208,512.66M,1.03%
2021-06-01,1.735191,1.73986,1.777924,1.657037,688.49M,-0.28%
2021-05-31,1.739981,1.575683,1.74896,1.528023,694.83M,10.42%
2021-05-30,1.575797,1.401528,1.68735,1.351712,954.14M,12.44%
2021-05-29,1.401423,1.512309,1.559352,1.335377,709.80M,-7.33%
2021-05-28,1.512244,1.64515,1.675289,1.452514,1.01B,-8.08%
2021-05-27,1.64515,1.778123,1.783682,1.610013,699.09M,-7.47%
2021-05-26,1.777995,1.551991,1.827989,1.551991,1.09B,14.56%
2021-05-25,1.552066,1.547467,1.648428,1.43755,1.05B,0.31%
2021-05-24,1.547325,1.315018,1.595696,1.266258,1.36B,17.65%
2021-05-23,1.315168,1.462989,1.537088,1.05262,1.89B,-10.11%
2021-05-22,1.46311,1.547614,1.597507,1.368931,1.11B,-5.46%
2021-05-21,1.54761,1.80327,1.866117,1.324681,1.51B,-14.18%
2021-05-20,1.803268,1.47177,1.939424,1.332379,1.82B,22.53%
2021-05-19,1.471705,2.005473,2.026881,1.023098,2.94B,-26.62%
2021-05-18,2.005655,2.031317,2.14624,1.972872,798.42M,-1.27%
2021-05-17,2.031362,2.300307,2.325914,1.921478,1.49B,-11.69%
2021-05-16,2.300278,2.172146,2.46007,2.01674,1.53B,5.91%
2021-05-15,2.171991,2.005761,2.372682,1.971187,1.83B,8.30%
2021-05-14,2.005568,1.929135,2.039183,1.812333,935.48M,3.94%
2021-05-13,1.929455,1.567603,1.969697,1.50036,2.05B,23.08%
2021-05-12,1.567691,1.763217,1.819243,1.549797,805.11M,-11.10%
2021-05-11,1.763466,1.642677,1.777945,1.598038,736.26M,7.33%
2021-05-10,1.643057,1.771404,1.822552,1.525797,990.41M,-7.17%
2021-05-09,1.7699,1.620722,1.829195,1.576467,882.67M,9.21%
2021-05-08,1.620694,1.653346,1.653346,1.562272,560.14M,-1.97%
2021-05-07,1.653198,1.647695,1.74498,1.528678,1.04B,0.32%
2021-05-06,1.647846,1.478105,1.699582,1.429214,1.73B,11.49%
2021-05-05,1.477996,1.289998,1.493147,1.289998,783.15M,14.66%
2021-05-04,1.288982,1.279281,1.30743,1.275654,585.18M,-5.37%
2021-05-03,1.36216,1.326653,1.379869,1.321542,390.15M,2.68%
2021-05-02,1.326586,1.351363,1.354633,1.295216,325.32M,-1.87%
2021-05-01,1.351805,1.352141,1.367594,1.316824,317.78M,-0.02%
2021-04-30,1.352103,1.306927,1.369855,1.287617,459.62M,3.45%
2021-04-29,1.306997,1.336898,1.4103,1.268125,817.53M,-2.24%
2021-04-28,1.336893,1.307518,1.34845,1.235023,575.49M,2.21%
2021-04-27,1.307929,1.234764,1.332599,1.226349,579.44M,5.95%
2021-04-26,1.234457,1.090052,1.249866,1.082019,713.34M,13.27%
2021-04-25,1.089866,1.102718,1.145999,1.020446,505.26M,-1.11%
2021-04-24,1.102116,1.156749,1.196083,1.095954,813.89M,-4.73%
2021-04-23,1.156832,1.146238,1.166003,0.9438,1.55B,0.92%
2021-04-22,1.14634,1.204413,1.278737,1.11813,812.88M,-4.83%
