Date,Price,Open,High,Low,Vol.,Change %
2021-07-10,33510.6,33797.7,34221,33056.8,50.94K,-0.85%
2021-07-09,33797.4,32866.3,34079.2,32367,67.14K,2.83%
2021-07-08,32866.3,33859.4,33923.2,32146.9,108.09K,-2.96%
2021-07-07,33867.8,34228.7,35036.6,33801.3,72.03K,-1.05%
2021-07-06,34225.6,33688.5,35062,33581.7,83.63K,1.60%
2021-07-05,33687.8,35297,35300.5,33164.1,88.36K,-4.56%
2021-07-04,35298.2,34742.8,35957.6,34740.1,56.13K,1.60%
2021-07-03,34742.8,33814.2,34909.8,33363.3,55.69K,2.75%
2021-07-02,33813.4,33542.2,33925.9,32734.6,78.93K,0.80%
2021-07-01,33543.6,35030.7,35032.7,32839.2,27.41K,-4.23%
2021-06-30,35026.9,35832.6,36089.5,34126.6,107.07K,-2.25%
2021-06-29,35834.7,34477.3,36590.3,34247.6,97.27K,3.94%
2021-06-28,34475.9,34682.2,35231.2,33944.9,112.00K,-0.58%
2021-06-27,34678.5,32247.1,34685.5,32041.7,148.80K,7.55%
2021-06-26,32243.4,31592.1,32643,30206.9,156.67K,2.06%
2021-06-25,31594,34660.5,35490.9,31337.9,193.43K,-8.86%
2021-06-24,34665.8,33678.1,35249.9,32356.7,119.25K,2.94%
2021-06-23,33674.3,32498.3,34784.3,31736.5,173.34K,3.62%
2021-06-22,32496.4,31682.7,33272.5,28901.8,309.65K,2.54%
2021-06-21,31692,35597.9,35708.4,31284.1,256.87K,-10.97%
2021-06-20,35595.8,35510.9,36097.9,33378,137.48K,0.23%
2021-06-19,35513.4,35770,36357.3,34845.5,105.46K,-0.66%
2021-06-18,35749.4,38045.5,38166,35198.5,102.84K,-6.05%
2021-06-17,38052,38337.8,39529.9,37425.3,109.58K,-0.74%
2021-06-16,38336,40148.1,40494.4,38156.4,123.52K,-4.53%
2021-06-15,40156.1,40522.5,41318,39589.9,117.55K,-0.92%
2021-06-14,40529.4,39024.1,40970.4,38769.9,157.35K,3.86%
2021-06-13,39022.9,35467.5,39321.6,34827,123.32K,10.02%
2021-06-12,35467.5,37334.4,37437.3,34703.3,87.73K,-4.95%
2021-06-11,37314.6,36654.3,37641.1,36003.3,109.15K,1.81%
2021-06-10,36649.4,37375.2,38340.8,35824,154.32K,-1.83%
2021-06-09,37332.2,33385.5,37517.6,32428.6,209.82K,11.83%
2021-06-08,33382.9,33574.6,34047.8,31158.1,193.54K,-0.58%
2021-06-07,33578,35815.4,36754.6,33410.1,119.50K,-6.25%
2021-06-06,35815.4,35518.7,36434,35265.3,62.20K,0.83%
2021-06-05,35520,36841.2,37887.6,34832,101.48K,-3.61%
2021-06-04,36851.3,39191.4,39255.4,35659.9,127.71K,-5.96%
2021-06-03,39187.3,37555.7,39462.3,37193.6,106.44K,4.34%
2021-06-02,37555.8,36687.7,38199.9,35981.1,96.89K,2.37%
2021-06-01,36687.6,37294.3,37850.3,35742.7,113.48K,-1.64%
2021-05-31,37298.6,35644,37480.7,34213.2,131.70K,4.62%
2021-05-30,35652.8,34589.3,36388.6,33441,104.18K,3.09%
2021-05-29,34584.6,35664.5,37227.1,33664.2,160.43K,-3.02%
2021-05-28,35662.5,38543.2,38844.1,34772.4,199.58K,-7.17%
2021-05-27,38417.3,39249,40322.2,37190.8,122.93K,-2.12%
2021-05-26,39249.2,38375.7,40750,37847,153.80K,2.27%
2021-05-25,38378.3,38753.6,39740.8,36540.7,163.01K,-0.96%
2021-05-24,38750.6,34720.3,39851.7,34474.6,244.88K,11.74%
2021-05-23,34679.7,37446.8,38248.7,31192.4,325.73K,-7.39%
2021-05-22,37448.3,37291,38776,35314.9,185.83K,0.40%
2021-05-21,37297.4,40611.2,42108.3,33592.3,315.50K,-8.40%
2021-05-20,40717.2,36706.8,42425.9,35010.4,269.75K,10.88%
2021-05-19,36720.5,42898.3,43516.6,30261.7,607.10K,-14.40%
2021-05-18,42897.3,43538.5,45770.9,42293.9,154.96K,-1.48%
2021-05-17,43541.3,46424.2,46545.4,42201.5,274.76K,-6.21%
2021-05-16,46426.4,46729.3,49764.3,43920.8,180.07K,-0.60%
2021-05-15,46708.8,49839.1,50640.9,46650.2,131.91K,-6.28%
2021-05-14,49839.8,49704.9,51459.2,48874,118.84K,0.27%
2021-05-13,49704.6,49398.2,51337.3,46331.1,236.71K,0.65%
2021-05-12,49384.2,56694.5,57938.5,49187,160.74K,-12.90%
2021-05-11,56695.7,55846.1,56871.1,54550.4,96.47K,1.52%
2021-05-10,55848.9,58251.2,59523.9,53678.3,142.61K,-4.10%
2021-05-09,58238.3,58840.6,59227,56414.4,103.59K,-1.02%
2021-05-08,58840.1,57330.3,59471.1,56972.2,101.27K,2.62%
2021-05-07,57337.2,56411.4,58639.3,55300.1,110.01K,1.65%
2021-05-06,56405.4,57441,58364.9,55294.5,109.02K,-1.80%
2021-05-05,57441.3,53872.5,57936.4,53872.5,119.82K,6.88%
2021-05-04,53741.5,57170.6,57201.3,53741.5,132.33K,-6.00%
2021-05-03,57169.8,56605.8,58925.1,56562.4,89.24K,1.00%
2021-05-02,56603.8,57807.2,57868.4,56110.5,53.61K,-2.08%
2021-05-01,57807.1,57719.1,58449.4,57029.5,63.41K,0.15%
2021-04-30,57720.3,53562.3,57925.6,53088.7,103.74K,7.77%
2021-04-29,53560.8,54838.6,55173.7,52400,83.90K,-2.34%
2021-04-28,54841.4,55036,56419.9,53876.4,86.96K,-0.35%
2021-04-27,55036.5,54011.1,55427.8,53345,84.08K,1.88%
2021-04-26,54020.5,48963.5,54320.9,48815.9,129.76K,10.33%
2021-04-25,48963.6,50088.2,50532.4,47098.5,59.20K,-2.25%
2021-04-24,50088.9,51140.8,51183,48775.2,82.25K,-2.06%
2021-04-23,51143.6,51707.1,52099.9,47659.4,214.46K,-1.13%
2021-04-22,51729.5,53821.3,55408.4,50590.9,168.13K,-3.88%
2021-04-21,53820.2,56479.5,56764.4,53657.6,100.26K,-4.71%
2021-04-20,56483.2,55645.1,57054.9,53422.5,115.49K,1.50%
2021-04-19,55646.1,56208.1,57517,54272.3,117.51K,-1.00%
2021-04-18,56207.1,60043.2,60362.1,51817.6,216.81K,-6.39%
2021-04-17,60041.9,61358.3,62509.1,59672.1,84.08K,-2.18%
2021-04-16,61379.7,63211.6,63518.5,60027.3,136.85K,-2.90%
2021-04-15,63216,62978.6,63729.1,62067.5,76.97K,0.37%
2021-04-14,62980.4,63544.2,64778,61366.3,130.43K,-0.88%
2021-04-13,63540.9,59863.6,63659,59839.4,126.56K,6.14%
2021-04-12,59863.8,59982.1,61259.9,59569.2,81.88K,-0.19%
2021-04-11,59978.7,59772.4,60667.1,59250.3,58.20K,0.39%
2021-04-10,59748.4,58127.4,61229,57900,103.72K,2.80%
2021-04-09,58118.7,58076.8,58890.9,57686,59.22K,0.07%
2021-04-08,58077.4,55948,58136.7,55721.6,64.78K,3.80%
2021-04-07,55948.7,57996.3,58627.7,55489.3,110.69K,-3.53%
2021-04-06,57996.3,59169,59487,57403.3,77.15K,-1.69%
2021-04-05,58993.4,58202.3,59205.1,56842.7,54.13K,1.36%
2021-04-04,58199.9,57059.7,58464.8,56470.6,57.21K,2.00%
2021-04-03,57059.9,58976.8,59770.5,56906.7,68.74K,-3.25%
2021-04-02,58977.3,58718.2,60134.9,58466.5,72.37K,0.44%
2021-04-01,58718.3,58763.2,59406.5,58040.7,69.04K,-0.08%
2021-03-31,58763.7,58771.4,59795.6,56991.6,98.06K,-0.01%
2021-03-30,58771.3,57614.6,59366.9,57077.1,86.21K,2.00%
2021-03-29,57616.2,55764.7,58392.6,54951.1,107.91K,3.32%
2021-03-28,55765.2,55856.9,56504.2,54711.3,58.71K,-0.17%
2021-03-27,55862.9,55033.8,56531.1,54010.2,73.87K,1.50%
2021-03-26,55036.1,51317.4,55074.1,51302,100.30K,7.24%
2021-03-25,51322.3,52330,53175.4,50441.3,143.35K,-1.92%
2021-03-24,52325.4,54309.1,57169.4,51725.4,137.91K,-3.91%
2021-03-23,54452.5,54117.5,55813.8,52992.3,84.84K,0.54%
2021-03-22,54158.3,57379.3,58379.9,53784.2,95.53K,-5.62%
2021-03-21,57383.8,58097.4,58583.8,55583.3,77.47K,-1.22%
2021-03-20,58093.4,58084.1,59882.1,57863,67.83K,0.01%
2021-03-19,58088,57645,59448.3,56305.1,83.98K,0.75%
2021-03-18,57656,58911.8,60088,57099.6,102.62K,-2.13%
2021-03-17,58913.5,56892.9,58933.2,54253.2,118.26K,3.56%
2021-03-16,56889.7,55619.5,56889.7,53342.6,128.51K,1.97%
2021-03-15,55791.3,59117.4,60565.9,55088.8,117.71K,-5.62%
2021-03-14,59113.7,61192.7,61673.7,59113.7,80.29K,-3.40%
2021-03-13,61195.3,57267.4,61795.8,56118.8,134.64K,6.86%
2021-03-12,57265.1,57806.2,58052.3,55134.5,116.96K,-0.92%
2021-03-11,57799.5,55851.2,58135,54351.8,129.63K,3.49%
2021-03-10,55851.9,54882.7,57328.7,53073.6,140.96K,1.77%
2021-03-09,54879,52352.4,54880.6,51941.3,114.06K,4.91%
2021-03-08,52311,50988.9,52384.9,49338.1,68.14K,2.61%
2021-03-07,50982.3,48899,51434.1,48890.6,82.91K,4.35%
2021-03-06,48855.6,48798.7,49191.8,47132.8,66.66K,0.13%
2021-03-05,48792.5,48363.6,49429.4,46370.1,113.64K,0.75%
2021-03-04,48428,50388,51757.7,47521.8,9.56K,-3.90%
2021-03-03,50395.1,48422.2,52567.9,48159.2,44.93K,4.07%
2021-03-02,48424.2,49595.6,50191.9,47100.6,102.10K,-2.36%
2021-03-01,49595.5,45160.5,49774,45008.8,137.52K,9.81%
2021-02-28,45164,46136,46582,43100.6,135.08K,-2.11%
2021-02-27,46136.7,46333.1,48335.1,45059.4,98.75K,-0.45%
2021-02-26,46345.6,46928.5,48413.9,44248.2,189.41K,-1.24%
2021-02-25,46928.5,49695.9,52013.8,46773.7,83.22K,-5.57%
2021-02-24,49697.5,48911.1,51311.8,47031.7,153.75K,1.61%
2021-02-23,48911.2,54114.1,54115,45093.8,315.07K,-9.61%
2021-02-22,54111.8,57437.6,57480.8,48353.8,244.95K,-5.78%
2021-02-21,57433.8,55907.6,58335.1,55502.7,87.26K,2.70%
2021-02-20,55923.7,55922,57523.8,54124.1,127.85K,0.03%
2021-02-19,55906.6,51590.1,56238.5,50816.8,139.43K,8.38%
2021-02-18,51582.2,52094.5,52524,50941.6,94.35K,-0.95%
2021-02-17,52079.2,49161.3,52577.7,49018.1,140.03K,5.92%
2021-02-16,49169.7,47934.2,50515.8,47044.4,141.37K,2.57%
2021-02-15,47936.3,48611.1,48936.5,45786.1,123.18K,-1.45%
2021-02-14,48643.4,47172.1,49695.1,47051.9,106.50K,3.13%
2021-02-13,47168.7,47373.1,48097.3,46270.5,89.42K,-0.43%
2021-02-12,47371.7,47995,48927.4,46218.6,133.73K,-1.29%
2021-02-11,47990.7,44834.8,48622.1,44041.1,145.77K,7.04%
2021-02-10,44836,46507.8,47295.3,43800.5,151.83K,-3.60%
2021-02-09,46508.6,46396.4,48143.5,45104.7,193.87K,0.24%
2021-02-08,46395.7,38853.6,46596.4,38057,248.47K,19.41%
2021-02-07,38852.9,39228.9,39691.7,37381.6,125.37K,-1.03%
2021-02-06,39256.6,38300.6,40939.7,38275.3,156.02K,2.50%
2021-02-05,38297.6,36976.4,38303.6,36640,100.60K,3.56%
2021-02-04,36982.1,37648.9,38707.9,36380.8,151.44K,-1.77%
2021-02-03,37646.8,35486.9,37646.8,35401.5,131.03K,6.09%
2021-02-02,35485.2,33514,35976.1,33462.4,120.85K,5.88%
2021-02-01,33515.7,33106.8,34685.6,32324.9,126.32K,1.23%
2021-01-31,33108.1,34281.6,34348.3,32189.9,101.92K,-3.43%
2021-01-30,34283.1,34300,34920.9,32908.5,128.57K,-0.05%
2021-01-29,34301.8,33381.7,38546,31953.3,297.73K,2.78%
2021-01-28,33374.8,30408.9,33790.8,29911.9,167.39K,9.77%
2021-01-27,30404,32499.6,32545.4,29290.4,194.35K,-6.46%
2021-01-26,32502.1,32244.1,32917.7,30850,139.84K,0.77%
2021-01-25,32252.3,32244.3,34854.3,31967.4,142.43K,0.03%
2021-01-24,32241.3,32088.5,33034.8,30982.9,88.21K,0.47%
2021-01-23,32088.9,32994.1,33441.4,31418.2,100.70K,-2.76%
2021-01-22,33000.5,30838.7,33821.2,28871.2,243.09K,7.00%
2021-01-21,30842.1,35472.3,35591.1,30101.8,253.27K,-13.06%
2021-01-20,35476.3,35862.1,36384.4,33444.5,153.61K,-1.46%
2021-01-19,36002.9,36630.6,37821,36001.4,79.11K,-1.67%
2021-01-18,36613.2,35838.2,37436.8,34801,111.52K,2.16%
2021-01-17,35839.6,36020.1,36801.3,33883.5,126.82K,-0.50%
2021-01-16,36019.5,36751.8,37931.7,35408.4,137.02K,-2.24%
2021-01-15,36845.8,39175.7,39715,34488.7,118.42K,-5.95%
2021-01-14,39175.7,37383.4,40054.3,36772.1,172.40K,4.80%
2021-01-13,37382.2,34061.2,37764.6,32451.9,209.93K,9.70%
2021-01-12,34076.1,35426,36598.7,32572.7,241.93K,-4.13%
2021-01-11,35544.3,38195.3,38217.2,30411.6,251.04K,-6.93%
2021-01-10,38192.2,40149.7,41362.4,35141.6,215.78K,-4.88%
2021-01-09,40151.9,40607.2,41363.5,38775.1,128.42K,-1.10%
2021-01-08,40599.3,39466.4,41921.7,36613.4,251.29K,2.89%
2021-01-07,39460.2,36798.5,40340.9,36361.2,249.60K,7.25%
2021-01-06,36793.2,33999.3,36934.8,33408.3,227.56K,8.24%
2021-01-05,33991.5,32015.4,34414.7,30010.5,202.13K,6.15%
2021-01-04,32022.6,33016.6,33587.5,28204.5,255.27K,-2.84%
2021-01-03,32958.9,32192.9,34755.9,32029.6,155.21K,2.38%
2021-01-02,32193.3,29359.7,33233.5,29008,240.87K,9.65%
2021-01-01,29359.9,28951.7,29627.1,28712.4,100.90K,1.42%
2020-12-31,28949.4,28866.8,29298.8,28025,136.69K,0.28%
2020-12-30,28868.7,27374.5,28979.3,27374.5,159.82K,5.45%
2020-12-29,27376,27065.3,27390.7,25902.8,119.57K,1.18%
2020-12-28,27057.8,26259.2,27444.9,26144.3,126.98K,3.03%
2020-12-27,26261.3,26460.3,28360.3,25858.2,231.23K,-0.73%
2020-12-26,26454.4,24714.7,26826,24515.1,155.77K,7.15%
2020-12-25,24689.6,23728.7,24778.9,23445.3,2.40K,4.02%
2020-12-24,23736.5,23253.2,23783.7,22737.3,104.59K,2.06%
2020-12-23,23257.9,23820.8,24063.7,22694.7,178.47K,-2.37%
2020-12-22,23823.2,22730.4,23825.4,22388.6,130.75K,4.82%
2020-12-21,22728.5,23474.1,24101.9,22015.5,154.69K,-3.18%
2020-12-20,23474.9,23843.6,24280.9,23098.9,114.09K,-1.55%
2020-12-19,23844,23127.6,24107.1,22797,133.88K,3.10%
2020-12-18,23127.9,22823.3,23272.8,22361.5,131.80K,1.33%
2020-12-17,22825.4,21352.3,23738,21243.1,310.74K,6.90%
2020-12-16,21352.2,19434.7,21525.3,19299.7,199.81K,9.87%
2020-12-15,19434.9,19273.9,19556.3,19076.2,98.39K,0.84%
2020-12-14,19273.8,19176.4,19346.5,19007,67.11K,0.51%
