Date,Price,Open,High,Low,Vol.,Change %
2021-07-10,2111.12,2146.15,2191.3,2078.43,929.32K,-1.62%
2021-07-09,2145.89,2120.05,2185.62,2066.09,1.42M,1.21%
2021-07-08,2120.22,2316.21,2322.47,2095.92,1.82M,-8.48%
2021-07-07,2316.57,2322.74,2402.68,2296.43,1.32M,-0.26%
2021-07-06,2322.72,2196.25,2347.47,2194.2,1.78M,5.76%
2021-07-05,2196.16,2322.6,2322.6,2163.09,822.95K,-5.47%
2021-07-04,2323.22,2224.7,2386.2,2222.95,1.39M,4.43%
2021-07-03,2224.7,2154.53,2236.97,2115.8,1.28M,3.25%
2021-07-02,2154.78,2108.58,2158.7,2019.75,1.39M,2.17%
2021-07-01,2109.11,2274.5,2274.63,2077.56,1.71M,-7.24%
2021-06-30,2273.84,2158.32,2281.55,2090.61,1.90M,5.33%
2021-06-29,2158.71,2083.48,2241.86,2076.17,898.06K,3.63%
2021-06-28,2083.09,1981.24,2142.84,1962.89,2.19M,5.21%
2021-06-27,1979.88,1830.42,1980.7,1808.59,1.87M,8.15%
2021-06-26,1830.62,1810.53,1850.4,1719.32,1.99M,1.11%
2021-06-25,1810.57,1989.77,2017.47,1793.47,1.65M,-8.98%
2021-06-24,1989.14,1968.76,2033.96,1886.74,1.64M,1.05%
2021-06-23,1968.39,1877.28,2043.1,1823.57,1.77M,4.89%
2021-06-22,1876.66,1890.95,1994.32,1707.24,2.84M,-0.77%
2021-06-21,1891.18,2244.25,2257.86,1868.32,2.69M,-15.72%
2021-06-20,2243.86,2166.3,2276.83,2045.03,1.42M,3.55%
2021-06-19,2166.91,2229.53,2276.7,2164.14,1.08M,-2.81%
2021-06-18,2229.53,2372.1,2376.62,2142.74,778.79K,-5.99%
2021-06-17,2371.62,2367.78,2459.11,2309.08,1.06M,0.18%
2021-06-16,2367.28,2544.35,2552.12,2353.24,1.37M,-6.94%
2021-06-15,2543.83,2581.42,2637.9,2512.39,1.95M,-1.46%
2021-06-14,2581.48,2508.49,2606.91,2467.61,1.79M,2.92%
2021-06-13,2508.27,2368.68,2547.9,2311.96,1.62M,5.90%
2021-06-12,2368.47,2351.45,2448.04,2260.8,1.80M,0.72%
2021-06-11,2351.45,2470.04,2493.48,2324.21,587.18K,-4.80%
2021-06-10,2469.97,2607.45,2615.46,2432.41,1.29M,-5.23%
2021-06-09,2606.23,2507.86,2620.74,2408.37,2.32M,3.81%
2021-06-08,2510.65,2592.12,2618.7,2320.64,75.18K,-3.16%
2021-06-07,2592.63,2713.52,2842.88,2581.24,3.01M,-4.46%
2021-06-06,2713.66,2628.43,2743.53,2614.48,756.36K,3.22%
2021-06-05,2628.98,2688.75,2814.02,2555.98,2.55M,-2.14%
2021-06-04,2686.5,2856.63,2856.63,2557.71,2.47M,-5.85%
2021-06-03,2853.35,2705.05,2889.19,2666.39,1.09M,5.44%
2021-06-02,2706.1,2633.74,2801,2554.88,2.60M,2.75%
2021-06-01,2633.67,2707.94,2738.23,2529.73,2.45M,-2.76%
2021-05-31,2708.47,2386.93,2713.98,2279.42,2.83M,13.51%
2021-05-30,2386.1,2276.97,2465.84,2181.93,2.80M,4.83%
