Date,Price,Open,High,Low,Vol.,Change %
2021-07-10,20.254,20.972,21.505,19.95,1.41M,-3.44%
2021-07-09,20.976,19.998,21.561,19.87,2.53M,2.61%
2021-07-08,20.442,22.2,22.306,20,3.14M,-8.16%
2021-07-07,22.259,22.372,23.215,22.143,3.09M,-0.17%
2021-07-06,22.297,20.072,22.684,20.072,5.35M,11.09%
2021-07-05,20.072,20.737,20.737,19.357,3.73M,-3.37%
2021-07-04,20.773,20.789,21.381,20.654,3.40M,9.14%
2021-07-03,19.033,18.213,19.071,17.915,1.67M,4.44%
2021-07-02,18.224,17.782,18.224,16.983,1.67M,2.24%
2021-07-01,17.824,19.276,19.276,17.824,2.16M,-7.45%
2021-06-30,19.258,18.64,19.258,17.426,2.60M,3.89%
2021-06-29,18.537,17.764,19.098,17.764,2.73M,4.79%
2021-06-28,17.69,17.097,18.066,16.972,2.12M,3.62%
2021-06-27,17.072,16.135,17.072,15.767,1.85M,5.95%
2021-06-26,16.113,15.822,16.262,15.268,2.11M,1.47%
2021-06-25,15.88,18.088,18.223,15.804,3.19M,-12.03%
2021-06-24,18.051,17.798,18.397,16.757,2.84M,1.41%
2021-06-23,17.8,16.384,18.158,16.384,3.80M,8.76%
2021-06-22,16.366,15.809,16.883,14.633,6.57M,3.12%
2021-06-21,15.871,20.749,20.749,15.871,4.73M,-23.35%
2021-06-20,20.705,19.777,20.856,19.085,2.41M,4.66%
2021-06-19,19.783,20.357,20.713,19.783,1.74M,-2.81%
2021-06-18,20.354,22.137,22.164,19.957,2.19M,-8.19%
2021-06-17,22.169,21.825,22.783,21.638,1.44M,1.64%
2021-06-16,21.811,23.417,23.417,21.811,1.69M,-6.95%
2021-06-15,23.439,24.195,24.359,23.379,1.51M,-2.96%
2021-06-14,24.155,23.291,24.155,22.822,2.21M,3.83%
2021-06-13,23.264,21.288,23.367,20.704,2.28M,9.49%
2021-06-12,21.248,21.794,21.794,20.588,2.20M,-2.76%
2021-06-11,21.85,23.581,23.581,21.55,2.60M,-7.26%
2021-06-10,23.56,25.137,25.137,23.527,2.53M,-6.15%
2021-06-09,25.105,23.407,25.105,22.514,4.57M,7.15%
2021-06-08,23.429,24.259,24.259,21.506,4.14M,-3.23%
2021-06-07,24.212,25.856,27.204,24.212,3.84M,-6.34%
2021-06-06,25.85,25.591,26.159,25.591,1.97M,0.92%
2021-06-05,25.614,26.529,27.569,25.398,2.68M,-3.05%
2021-06-04,26.42,28.616,28.616,25.593,4.00M,-7.83%
2021-06-03,28.664,27.537,28.86,27.236,3.67M,3.76%
2021-06-02,27.626,27.443,28.438,26.598,3.74M,0.78%
2021-06-01,27.413,28.175,28.489,26.533,5.25M,-3.25%
2021-05-31,28.335,25.53,28.335,23.953,7.52M,10.06%
2021-05-30,25.744,23.173,26.038,22.01,5.66M,11.12%
2021-05-29,23.168,25.888,27.083,22.211,5.97M,-10.49%
2021-05-28,25.884,28.39,28.39,25.445,7.73M,-9.00%
2021-05-27,28.443,29.344,29.47,26.483,6.28M,-3.22%
2021-05-26,29.389,25.214,29.389,25.214,6.64M,16.92%
2021-05-25,25.136,24.606,25.418,22.38,10.31M,2.15%
2021-05-24,24.607,16.811,24.701,16.811,11.14M,47.46%
2021-05-23,16.687,20.347,20.78,14.233,11.48M,-18.04%
2021-05-22,20.36,21.873,22.229,19.269,5.22M,-7.05%
2021-05-21,21.904,26.329,27.917,20.548,7.11M,-16.73%
2021-05-20,26.306,23.4,27.962,21.912,7.41M,13.42%
2021-05-19,23.194,35.053,35.053,20.986,13.26M,-33.80%
2021-05-18,35.037,33.232,36.237,33.232,3.74M,5.22%
2021-05-17,33.298,36.536,36.536,32.422,3.94M,-8.98%
2021-05-16,36.582,36.583,39.099,34.709,2.89M,-0.02%
2021-05-15,36.591,40.395,41.843,36.591,3.45M,-9.44%
2021-05-14,40.407,37.357,40.444,37.357,2.69M,8.33%
2021-05-13,37.301,37.018,39.858,36.558,5.55M,3.90%
2021-05-12,35.9,38.5,43.678,35.9,8.22M,-6.81%
2021-05-11,38.523,36.297,38.523,35.65,2.72M,5.90%
2021-05-10,36.378,39.483,40.818,35.539,4.24M,-7.69%
2021-05-09,39.41,40.498,40.498,38.725,2.58M,-2.50%
2021-05-08,40.419,39.621,40.949,39.573,2.97M,1.68%
2021-05-07,39.753,40.363,40.655,38.536,4.06M,-1.17%
2021-05-06,40.224,42.437,42.437,40.224,4.99M,-5.22%
2021-05-05,42.441,43.394,44.061,41.869,6.73M,-0.52%
2021-05-04,42.662,42.309,43.111,40.246,7.06M,0.94%
2021-05-03,42.265,42.576,44.629,41.894,4.84M,-0.14%
2021-05-02,42.324,40.317,42.753,39.397,4.15M,5.02%
2021-05-01,40.3,40.587,40.894,39.613,3.16M,-0.88%
2021-04-30,40.659,41.038,41.038,40.011,4.31M,-0.95%
2021-04-29,41.05,42.876,42.947,40.429,4.43M,-4.17%
2021-04-28,42.837,39.688,42.837,39.386,7.12M,8.15%
2021-04-27,39.608,38.177,40.046,37.969,5.39M,3.71%
2021-04-26,38.19,34.371,38.19,34.371,5.29M,12.67%
