,VTIP,AGG,MUB,BNDX,EMB,JPST,GBIL,SHV
2021-02-17,51.4,116.28,117.26,57.6,112.72,50.795,100.13,110.525
2021-02-18,51.34,116.2,116.905,57.53,112.61,50.795,100.135,110.53
2021-02-19,51.32,115.83,116.68,57.375,112.0,50.8035,100.135,110.525
2021-02-22,51.41,115.49,116.18,57.34,111.23,50.8026,100.13,110.525
2021-02-23,51.455,115.52,116.05,57.305,111.39,50.81,100.13,110.5211
2021-02-24,51.48,115.47,115.81,57.23,111.57,50.8,100.13,110.53
2021-02-25,51.18,114.41,115.3,56.78,109.55,50.795,100.13,110.51
2021-02-26,51.4,115.37,115.58,57.135,110.07,50.79,100.13,110.515
2021-03-01,51.455,115.13,115.39,57.37,110.32,50.78,100.12,110.53
2021-03-02,51.56,115.12,115.59,57.37,110.22,50.77,100.125,110.51
2021-03-03,51.54,114.71,115.44,57.19,109.6,50.7623,100.13,110.52
2021-03-04,51.47,114.36,115.5,57.1,108.65,50.755,100.12,110.51
2021-03-05,51.495,114.285,115.51,57.16,108.61,50.76,100.13,110.515
2021-03-08,51.3499,113.84,115.62,57.06,106.77,50.7301,100.125,110.51
2021-03-09,51.42,114.25,115.93,57.22,107.99,50.725,100.125,110.51
2021-03-10,51.53,114.45,116.12,57.26,109.03,50.73,100.125,110.5101
2021-03-11,51.65,114.44,116.23,57.345,109.82,50.72,100.12,110.51
2021-03-12,51.595,113.79,115.82,57.125,108.47,50.73,100.13,110.515
2021-03-15,51.6364,113.94,116.16,57.27,109.17,50.72,100.12,110.51
2021-03-16,51.72,113.87,116.23,57.215,109.55,50.72,100.13,110.515
2021-03-17,51.72,113.87,116.0,57.1,110.46,50.72,100.13,110.525
2021-03-18,51.55,113.42,115.57,56.97,108.97,50.72,100.13,110.5289
2021-03-19,51.54,113.5,115.63,57.07,109.3,50.75,100.13,110.53
2021-03-22,51.58,113.75,115.72,57.125,109.52,50.75,100.135,110.52
2021-03-23,51.56,114.04,115.81,57.29,109.155,50.74,100.13,110.53
2021-03-24,51.66,114.17,115.98,57.35,109.47,50.745,100.13,110.52
2021-03-25,51.595,114.095,116.02,57.4,109.22,50.74,100.13,110.53
2021-03-26,51.64,113.93,115.97,57.29,109.26,50.745,100.135,110.5201
2021-03-29,51.585,113.72,115.91,57.16,108.685,50.745,100.13,110.525
2021-03-30,51.535,113.815,116.07,57.1,108.73,50.76,100.135,110.52
2021-03-31,51.54,113.82,116.06,57.115,108.86,50.75,100.13,110.515
2021-04-01,51.59,114.02,115.96,57.15,109.31,50.73,100.13,110.52
2021-04-05,51.54,113.81,115.88,57.0823,109.25,50.73,100.12,110.5199
2021-04-06,51.55,114.21,116.12,57.21,109.62,50.73,100.12,110.53
2021-04-07,51.6,114.03,116.145,57.2,109.24,50.725,100.13,110.53
2021-04-08,51.66,114.3,116.33,57.27,109.83,50.73,100.12,110.525
2021-04-09,51.64,114.18,116.34,57.1628,109.59,50.72,100.13,110.525
2021-04-12,51.64,114.15,116.39,57.12,109.77,50.72,100.12,110.5101
2021-04-13,51.71,114.46,116.54,57.18,110.34,50.72,100.12,110.51
2021-04-14,51.72,114.38,116.62,57.1,110.24,50.72,100.13,110.515
2021-04-15,51.76,114.81,117.035,57.235,111.58,50.73,100.125,110.52
2021-04-16,51.75,114.54,116.96,57.14,111.21,50.725,100.13,110.51
2021-04-19,51.74,114.44,116.92,57.07,111.15,50.725,100.13,110.51
2021-04-20,51.745,114.62,116.99,57.17,110.86,50.735,100.13,110.51
2021-04-21,51.735,114.74,117.0,57.225,111.06,50.745,100.13,110.51
2021-04-22,51.75,114.77,117.05,57.225,111.25,50.75,100.13,110.51
2021-04-23,51.755,114.75,117.075,57.17,111.38,50.74,100.12,110.515
2021-04-26,51.76,114.65,117.08,57.15,110.92,50.75,100.12,110.51
2021-04-27,51.8,114.37,117.03,57.075,110.29,50.76,100.12,110.51
2021-04-28,51.95,114.44,116.97,57.08,110.68,50.75,100.12,110.52
2021-04-29,51.99,114.37,116.75,56.925,110.8,50.75,100.125,110.51
2021-04-30,51.99,114.5,116.75,56.96,111.08,50.75,100.12,110.515
2021-05-03,52.07,114.4,116.47,56.91,110.62,50.725,100.12,110.515
2021-05-04,52.155,114.5285,116.445,56.99,110.75,50.73,100.125,110.52
2021-05-05,52.27,114.61,116.56,56.995,110.88,50.72,100.12,110.515
2021-05-06,52.2188,114.65,116.66,56.98,111.1,50.735,100.12,110.5104
2021-05-07,52.26,114.645,116.83,56.92,111.6,50.74,100.125,110.5101
2021-05-10,52.3,114.43,116.74,56.9,111.35,50.72,100.125,110.52
2021-05-11,52.24,114.19,116.605,56.78,111.08,50.7278,100.125,110.52
2021-05-12,52.29,113.79,116.42,56.63,110.09,50.715,100.12,110.51
2021-05-13,52.23,114.015,116.39,56.635,110.61,50.72,100.13,110.515
2021-05-14,52.355,114.28,116.67,56.7,111.22,50.74,100.13,110.5199
2021-05-17,52.4389,114.165,116.67,56.63,111.16,50.73,100.1216,110.52
2021-05-18,52.435,114.07,116.69,56.625,111.17,50.75,100.13,110.51
2021-05-19,52.24,113.92,116.53,56.57,110.69,50.75,100.12,110.52
2021-05-20,52.235,114.29,116.65,56.67,111.41,50.75,100.13,110.51
2021-05-21,52.304,114.32,116.68,56.735,111.183,50.75,100.125,110.52
2021-05-24,52.39,114.455,116.74,56.77,111.29,50.745,100.12,110.51
2021-05-25,52.42,114.74,116.91,56.91,111.82,50.76,100.13,110.52
2021-05-26,52.37,114.69,117.04,57.025,111.86,50.7677,100.13,110.5116
2021-05-27,52.365,114.545,117.005,56.895,111.61,50.7625,100.125,110.51
2021-05-28,52.385,114.51,116.99,56.93,111.9,50.76,100.13,110.5
2021-06-01,52.425,114.34,116.84,56.87,111.67,50.745,100.12,110.505
2021-06-02,52.42,114.485,116.94,56.9375,111.81,50.745,100.12,110.51
2021-06-03,52.355,114.21,116.95,56.855,111.28,50.74,100.12,110.5
2021-06-04,52.44,114.665,117.12,56.99,112.03,50.74,100.115,110.505
2021-06-07,52.39,114.595,117.11,56.94,111.78,50.74,100.115,110.51
2021-06-08,52.35,114.82,117.25,57.03,112.19,50.74,100.11,110.5
2021-06-09,52.275,115.05,117.55,57.135,112.57,50.74,100.12,110.51
2021-06-10,52.4181,115.3,117.61,57.2,112.79,50.735,100.115,110.505
2021-06-11,52.32,115.24,117.53,57.3,112.89,50.74,100.115,110.49
2021-06-14,52.3,114.97,117.58,57.155,112.24,50.75,100.11,110.49
2021-06-15,52.365,114.995,117.51,57.1,112.44,50.745,100.11,110.49
2021-06-16,52.11,114.63,117.195,57.0,111.57,50.74,100.115,110.49
2021-06-17,52.195,114.99,117.31,57.06,111.92,50.73,100.115,110.49
2021-06-18,52.1213,115.29,117.325,57.08,112.27,50.72,100.1,110.485
2021-06-21,52.17,114.96,117.18,57.03,112.2,50.7175,100.105,110.48
2021-06-22,52.305,115.11,117.2,57.04,112.14,50.73,100.1,110.48
2021-06-23,52.32,115.05,116.91,57.01,112.28,50.73,100.1,110.4801
2021-06-24,52.285,115.07,116.945,57.04,112.32,50.73,100.1,110.5
2021-06-25,52.31,114.89,116.95,56.94,112.12,50.715,100.11,110.49
2021-06-28,52.32,115.16,117.1,57.07,112.335,50.73,100.101,110.485
2021-06-29,52.3699,115.25,117.12,57.015,112.3,50.7301,100.11,110.48
2021-06-30,52.4,115.35,117.18,57.1,112.45,50.74,100.11,110.49
2021-07-01,51.925,115.115,117.07,57.09,111.96,50.71,100.1,110.485
2021-07-02,52.01,115.37,117.19,57.21,112.13,50.7,100.11,110.48
2021-07-06,52.03,115.75,117.32,57.315,112.21,50.705,100.1,110.48
2021-07-07,51.995,115.95,117.465,57.435,112.41,50.72,100.11,110.48
2021-07-08,52.0,116.06,117.69,57.43,112.19,50.725,100.1,110.4812
2021-07-09,52.04,115.69,117.6,57.31,112.13,50.72,100.1,110.485
