,GLD,BAR,UGL,DBP,ZI,ZG
2021-02-17,166.32,17.635,58.54,50.055,54.04,193.55
2021-02-18,166.32,17.63,58.485,49.94,55.32,186.92
2021-02-19,167.0,17.7,58.98,50.2213,54.74,191.55
2021-02-22,169.47,17.98,60.75,51.17,51.33,173.49
2021-02-23,169.12,17.93,60.5299,50.78,53.26,175.175
2021-02-24,168.98,17.925,60.365,50.8767,56.53,172.22
2021-02-25,165.82,17.58,58.14,50.0531,53.24,159.33
2021-02-26,161.8,17.16,55.31,48.81,52.42,169.72
2021-03-01,161.55,17.13,55.03,48.62,56.5,175.8
2021-03-02,162.4,17.22,55.67,48.99,56.27,168.89
2021-03-03,160.63,17.035,54.47,48.23,47.725,152.93
2021-03-04,159.04,16.86,53.29,47.44,45.57,137.64
2021-03-05,159.12,16.875,53.39,47.6,45.9,139.96
2021-03-08,157.49,16.7,52.24,47.155,43.66,130.01
2021-03-09,160.83,17.05,54.4999,48.3105,47.21,142.56
2021-03-10,161.66,17.14,55.09,48.465,46.82,149.02
2021-03-11,161.51,17.115,54.95,48.34,48.74,160.88
2021-03-12,161.48,17.12,55.0399,48.31,48.3349,157.05
2021-03-15,162.2,17.2099,55.4599,48.635,47.67,155.99
2021-03-16,162.36,17.215,55.51,48.46,48.34,150.09
2021-03-17,163.53,17.335,56.33,49.13,48.61,148.97
2021-03-18,162.57,17.24,55.6,48.6485,47.2,137.705
2021-03-19,163.27,17.315,56.18,48.887,48.84,141.57
2021-03-22,163.01,17.29,55.98,48.5518,54.63,143.89
2021-03-23,161.82,17.165,55.17,48.12,56.25,140.88
2021-03-24,162.36,17.22,55.6,48.1957,54.315,133.13
2021-03-25,161.81,17.15,55.1,48.1584,54.43,131.07
2021-03-26,162.27,17.2099,55.46,48.04,52.91,132.0156
2021-03-29,160.32,17.0,54.09,47.5487,49.73,122.57
2021-03-30,157.57,16.71,52.24,46.59,49.09,126.34
2021-03-31,160.01,16.96,53.89,47.4,48.9,131.5
2021-04-01,161.98,17.175,55.24,48.09,48.12,135.58
2021-04-05,161.9,17.17,55.14,47.945,47.54,137.14
2021-04-06,163.23,17.315,56.07,48.4297,48.0,143.76
2021-04-07,162.77,17.26,55.7101,48.34,48.04,141.37
2021-04-08,164.52,17.45,56.91,48.83,47.99,149.19
2021-04-09,163.28,17.31,56.06,48.4114,47.26,147.6
2021-04-12,162.3,17.21,55.31,48.0,47.32,144.68
2021-04-13,163.44,17.34,56.16,48.61,49.0,146.14
2021-04-14,162.72,17.26,55.66,48.37,48.16,139.27
2021-04-15,165.33,17.54,57.44,49.19,47.51,143.4
2021-04-16,166.37,17.64,58.16,49.51,47.91,135.91
2021-04-19,165.9,17.595,57.7984,49.235,47.38,134.68
2021-04-20,166.49,17.66,58.23,49.48,45.63,131.56
2021-04-21,168.13,17.825,59.3701,50.095,49.1,137.04
2021-04-22,167.05,17.72,58.63,49.67,49.6,134.14
2021-04-23,166.39,17.65,58.11,49.39,51.33,138.94
2021-04-26,166.84,17.7,58.4201,49.58,53.04,143.66
2021-04-27,166.42,17.645,58.13,49.59,52.21,141.77
2021-04-28,166.93,17.7,58.45,49.56,52.51,139.07
2021-04-29,166.26,17.625,57.96,49.42,52.04,135.17
2021-04-30,165.67,17.565,57.56,49.16,51.88,133.35
