,OIL,OILK,BNO,COG
2021-02-17,17.49,54.16,16.03,18.58
2021-02-18,17.2,53.18,15.78,18.07
2021-02-19,16.9882,52.34,15.59,18.56
2021-02-22,17.63,54.61,16.19,18.34
2021-02-23,17.805,55.02,16.33,18.03
2021-02-24,18.2,56.05,16.67,19.18
2021-02-25,18.18,56.1546,16.6,18.9
2021-02-26,17.6832,54.56,16.21,18.51
2021-03-01,17.32,53.5,15.9799,18.86
2021-03-02,17.17,52.89,15.74,18.77
2021-03-03,17.64,54.3,16.12,18.68
2021-03-04,18.47,56.93,16.91,18.66
2021-03-05,19.07,58.79,17.51,18.97
2021-03-08,18.68,57.37,17.08,19.07
2021-03-09,18.5101,56.77,16.93,18.54
2021-03-10,18.74,57.61,17.18,19.2
2021-03-11,19.15,58.77,17.55,19.29
2021-03-12,19.0,58.42,17.42,18.8
2021-03-15,18.941,58.28,17.35,18.95
2021-03-16,18.81,57.78,17.19,18.84
2021-03-17,18.76,57.7,17.125,18.53
2021-03-18,17.46,53.14,15.7857,17.9
2021-03-19,18.01,54.98,16.27,18.05
2021-03-22,17.95,54.7,16.23,18.01
2021-03-23,17.04,51.48,15.305,17.95
2021-03-24,17.884,54.305,16.14,18.24
2021-03-25,17.26,52.285,15.56,18.73
2021-03-26,17.91,54.421,16.25,19.195
2021-03-29,18.09,55.07,16.405,19.24
2021-03-30,17.7317,54.03,16.15,18.78
2021-03-31,17.52,53.06,15.88,18.79
2021-04-01,18.11,54.755,16.31,19.09
2021-04-05,17.43,52.62,15.715,18.55
2021-04-06,17.67,53.12,15.85,18.485
2021-04-07,17.669,53.37,15.93,18.48
2021-04-08,17.67,53.22,15.98,17.8501
2021-04-09,17.5401,53.105,15.91,17.38
2021-04-12,17.69,53.41,15.97,16.96
2021-04-13,17.96,54.04,16.12,16.71
2021-04-14,18.62,56.31,16.76,16.95
2021-04-15,18.69,56.61,16.86,16.83
2021-04-16,18.63,56.46,16.86,16.565
2021-04-19,18.68,56.67,16.93,16.56
2021-04-20,18.42,55.94,16.77,16.39
2021-04-21,18.03,54.52,16.39,16.41
2021-04-22,18.16,55.03,16.52,16.37
2021-04-23,18.3605,55.51,16.66,16.13
2021-04-26,18.27,55.32,16.57,16.43
2021-04-27,18.61,56.425,16.84,16.79
2021-04-28,18.76,57.02,16.98,16.98
2021-04-29,19.12,57.95,17.29,17.06
2021-04-30,18.65,56.705,16.97,16.68
2021-05-03,19.0297,57.5663,17.18,17.08
2021-05-04,19.43,58.74,17.543,17.19
2021-05-05,19.29,58.315,17.485,17.47
2021-05-06,19.249,57.95,17.36,17.1
2021-05-07,19.21,58.01,17.35,17.39
2021-05-10,19.31,57.95,17.36,17.695
2021-05-11,19.44,58.4261,17.45,17.41
2021-05-12,19.57,58.89,17.59,17.5
2021-05-13,18.99,57.05,17.045,17.18
2021-05-14,19.35,58.45,17.475,17.77
2021-05-17,19.6699,59.3,17.69,18.31
2021-05-18,19.48,58.7297,17.51,17.82
2021-05-19,18.8,56.7999,16.995,18.0
2021-05-20,18.42,55.6,16.61,17.755
2021-05-21,18.89,57.22,17.005,17.81
2021-05-24,19.53,58.84,17.45,16.6
2021-05-25,19.42,58.75,17.43,16.445
2021-05-26,19.56,59.07,17.54,16.7
2021-05-27,19.73,59.4518,17.64,16.385
2021-05-28,19.7,59.22,17.6,16.4
2021-06-01,20.11,60.44,17.99,16.465
2021-06-02,20.3,61.125,18.19,17.04
2021-06-03,20.32,61.25,18.21,16.81
2021-06-04,20.49,61.6551,18.28,16.93
2021-06-07,20.45,61.6,18.24,16.86
2021-06-08,20.75,62.3801,18.46,17.02
2021-06-09,20.58,62.079,18.37,17.22
2021-06-10,20.68,62.41,18.48,17.295
2021-06-11,20.81,62.539,18.525,17.28
2021-06-14,20.88,62.85,18.635,16.91
2021-06-15,21.21,63.6897,18.93,16.88
2021-06-16,21.11,63.47,18.88,16.57
2021-06-17,20.72,62.49,18.64,15.895
2021-06-18,20.9,62.81,18.72,15.33
2021-06-21,21.25,64.02,19.11,15.93
2021-06-22,21.335,61.24,19.11,16.06
2021-06-23,21.4404,61.55,19.245,16.4
2021-06-24,21.54,61.7,19.29,16.57
2021-06-25,21.69,62.223,19.43,16.82
2021-06-28,21.37,61.33,19.11,16.31
2021-06-29,21.57,61.7205,19.25,16.29
2021-06-30,21.54,61.7517,19.25,17.46
2021-07-01,21.81,62.43,19.47,17.85
2021-07-02,21.97,63.039,19.655,17.84
2021-07-06,21.49,61.651,19.31,17.005
2021-07-07,20.97,60.285,18.84,17.04
2021-07-08,21.28,61.14,19.14,17.4
2021-07-09,21.74,62.23,19.47,17.62
