Trade DATE,BTC,ADA,ETH,UNI
2021-07-10,33510.6,1.335667,2111.12,20.254
2021-07-09,33797.4,1.349457,2145.89,20.976
2021-07-08,32866.3,1.3323610000000001,2120.22,20.442
2021-07-07,33867.8,1.4037879999999998,2316.57,22.259
2021-07-06,34225.6,1.416315,2322.72,22.296999999999997
2021-07-05,33687.8,1.4040920000000001,2196.16,20.072
2021-07-04,35298.2,1.461623,2323.22,20.773000000000003
2021-07-03,34742.8,1.420936,2224.7,19.033
2021-07-02,33813.4,1.395476,2154.78,18.224
2021-07-01,33543.6,1.333002,2109.11,17.824
2021-06-30,35026.9,1.383782,2273.84,19.258
2021-06-29,35834.7,1.3711659999999999,2158.71,18.537
2021-06-28,34475.9,1.324686,2083.09,17.69
2021-06-27,34678.5,1.335523,1979.88,17.072
2021-06-26,32243.4,1.25166,1830.62,16.113
2021-06-25,31594.0,1.254732,1810.57,15.88
2021-06-24,34665.8,1.357038,1989.14,18.051
2021-06-23,33674.3,1.250572,1968.39,17.8
2021-06-22,32496.4,1.151981,1876.66,16.366
2021-06-21,31692.0,1.175748,1891.18,15.870999999999999
2021-06-20,35595.8,1.426877,2243.86,20.705
2021-06-19,35513.4,1.385523,2166.91,19.783
2021-06-18,35749.4,1.4129450000000001,2229.53,20.354
2021-06-17,38052.0,1.481025,2371.62,22.169
2021-06-16,38336.0,1.4833290000000001,2367.28,21.811
2021-06-15,40156.1,1.5565129999999998,2543.83,23.439
2021-06-14,40529.4,1.575848,2581.48,24.155
2021-06-13,39022.9,1.558645,2508.27,23.264
2021-06-12,35467.5,1.477178,2368.47,21.248
2021-06-11,37314.6,1.436004,2351.45,21.85
2021-06-10,36649.4,1.531499,2469.97,23.56
2021-06-09,37332.2,1.6247690000000001,2606.23,25.105
2021-06-08,33382.9,1.585148,2510.65,23.429000000000002
2021-06-07,33578.0,1.564406,2592.63,24.212
2021-06-06,35815.4,1.675504,2713.66,25.85
2021-06-05,35520.0,1.6580580000000003,2628.98,25.614
2021-06-04,36851.3,1.709007,2686.5,26.42
2021-06-03,39187.3,1.844539,2853.35,28.664
2021-06-02,37555.8,1.753108,2706.1,27.625999999999998
2021-06-01,36687.6,1.735191,2633.67,27.413
2021-05-31,37298.6,1.7399810000000002,2708.47,28.335
2021-05-30,35652.8,1.575797,2386.1,25.744
2021-05-29,34584.6,1.4014229999999999,2276.07,23.168000000000003
2021-05-28,35662.5,1.5122440000000001,2414.29,25.884
2021-05-27,38417.3,1.64515,2735.88,28.443
2021-05-26,39249.2,1.777995,2884.66,29.389
2021-05-25,38378.3,1.552066,2705.09,25.136
2021-05-24,38750.6,1.547325,2646.79,24.607
2021-05-23,34679.7,1.3151680000000001,2101.34,16.687
2021-05-22,37448.3,1.4631100000000001,2291.6,20.36
2021-05-21,37297.4,1.54761,2433.11,21.904
2021-05-20,40717.2,1.803268,2777.55,26.305999999999997
2021-05-19,36720.5,1.4717049999999998,2435.69,23.194000000000003
2021-05-18,42897.3,2.005655,3377.55,35.037
2021-05-17,43541.3,2.031362,3279.68,33.298
