Trade DATE,AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WBA,WMT,DIS,AGG,SPY,VTI,VTV,VOE,VBR,VEA,VWO,IEMG,BTC,ADA,ETH,UNI,GLD,BAR,UGL,DBP,ZI,ZG
2021-02-17,128.57,235.46,130.84,215.61,202.31,46.24,95.92,312.76,280.97,201.89,119.98,61.84,165.62,50.14,145.08,213.45,176.65,75.545,244.26,144.02,128.46,148.45,326.94,247.67,56.99,207.52,49.56,147.39,186.43,116.28,392.43,206.74,125.12,127.92,157.45,49.59,56.45,69.46,52079.2,0.891702,1847.95,21.508000000000003,166.32,17.635,58.54,50.055,54.04,193.55
2021-02-18,128.49,232.58,129.7127,208.58,199.88,46.36,95.0,310.18,283.1,203.52,120.73,61.61,165.86,50.78,145.61,215.44,179.4,75.43,243.79,145.09,129.55,147.69,328.51,247.05,56.97,209.41,48.91,137.62,183.0,116.2,390.75,205.56,124.42,127.13,155.44,49.28,55.73,68.58,51582.2,0.913752,1934.16,21.166999999999998,166.32,17.63,58.485,49.94,55.32,186.92
2021-02-19,131.74,231.62,129.85,217.47,210.01,45.67,95.82,315.51,279.66,203.62,118.98,63.01,162.97,50.12,148.04,212.24,176.54,74.3193,241.03,142.01,127.12,145.83,324.65,246.51,56.45,204.92,48.86,138.37,183.68,115.83,390.02,205.94,124.86,128.89,158.5,49.49,56.04,69.035,55906.6,0.9258940000000001,1955.59,20.0674,167.0,17.7,58.98,50.2213,54.74,191.55
2021-02-22,135.94,231.48,126.01,212.89,218.05,45.43,98.38,316.88,275.86,203.63,120.91,60.71,161.79,50.62,149.5,211.97,176.15,74.92,234.6,136.71,126.6,147.87,327.76,240.96,56.45,208.35,48.88,137.72,191.76,115.49,387.11,203.97,125.69,129.58,159.6,49.35,54.47,67.06,54111.8,1.096866,1777.28,27.7601,169.47,17.98,60.75,51.17,51.33,173.49
2021-02-23,136.95,232.5,125.85,212.13,220.18,45.51,99.59,319.21,267.23,205.0,120.71,61.12,160.45,50.54,150.6,211.38,176.13,74.54,233.27,136.13,127.5,149.34,329.6,235.64,57.02,212.14,48.41,135.43,197.01,115.52,387.5,203.92,126.15,130.09,159.99,49.37,54.77,67.41,48911.2,0.963973,1578.11,24.8447,169.12,17.93,60.5299,50.78,53.26,175.175
2021-02-24,139.88,230.11,125.32,229.33,222.48,45.74,103.31,330.43,259.97,211.03,123.21,63.2,162.57,50.7,153.25,213.27,177.47,74.56,234.54,135.7,127.66,150.86,332.01,240.47,57.11,219.45,49.2,133.21,197.51,115.47,391.76,206.28,127.81,132.19,163.17,49.54,54.43,67.0,49697.5,1.0481479999999999,1623.71,25.2214,168.98,17.925,60.365,50.8767,56.53,172.22
2021-02-25,137.09,227.43,121.0,216.4,221.74,45.52,102.35,327.65,255.18,204.79,122.5,60.39,162.7,50.17,151.18,210.87,178.75,74.61,228.83,135.57,126.58,147.96,329.1,230.94,56.506,213.81,48.29,131.99,190.99,114.41,382.39,200.82,125.61,128.52,158.59,48.705,53.23,65.56,46928.5,1.0751700000000002,1476.15,23.250999999999998,165.82,17.58,58.14,50.0531,53.24,159.33
2021-02-26,135.16,224.91,121.2,212.01,215.82,44.86,99.96,319.48,258.32,202.19,118.93,60.68,158.27,48.99,147.1,206.14,175.04,72.63,232.19,134.76,123.46,145.49,331.75,216.36,55.295,212.4,47.9,129.88,188.94,115.37,380.32,200.08,123.92,127.54,157.85,48.02,52.5,64.7,46345.6,1.241585,1445.44,23.136999999999997,161.8,17.16,55.31,48.81,52.42,169.72
2021-03-01,138.73,227.17,127.79,224.3094,219.64,45.93,102.02,329.81,261.69,206.31,120.74,62.88,159.34,49.9,150.48,208.21,176.35,72.3601,236.94,137.63,124.29,150.39,334.59,217.44,55.35,216.66,47.87,131.33,194.98,115.13,389.52,205.18,126.61,130.41,162.32,48.95,53.92,66.44,49595.5,1.2962,1570.03,25.7178,161.55,17.13,55.03,48.62,56.5,175.8
2021-03-02,139.2,225.69,125.1601,223.09,215.68,45.51,102.44,330.75,260.38,206.57,120.35,61.23,159.14,50.11,150.04,208.63,177.11,72.84,233.87,137.05,123.88,149.04,334.82,213.6,54.99,215.83,47.44,130.13,193.92,115.12,386.55,203.24,126.37,130.11,160.61,48.91,53.42,65.79,48424.2,1.224643,1488.62,25.5358,162.4,17.22,55.67,48.99,56.27,168.89
