Trade DATE,AAPL,COST,GOOG,SP500,BAR,DBP,GLD,UGL
5/9/2019,200.72,243.47,1162.38,2933.68,18.30,50.83,172.53,63.40
5/8/2019,202.90,241.34,1166.27,2907.97,18.31,51.39,172.69,63.47
5/7/2019,202.86,240.18,1174.10,2905.03,18.31,51.36,172.72,63.48
5/6/2019,208.48,244.23,1189.39,2900.45,18.48,52.59,174.24,64.64
5/3/2019,211.75,244.62,1185.40,2907.06,18.25,51.04,172.14,62.88
5/2/2019,209.15,242.69,1162.61,2905.58,18.21,51.20,171.81,62.67
5/1/2019,210.52,241.59,1168.08,2907.41,17.82,50.09,168.13,59.92
4/30/2019,200.67,245.53,1188.48,2888.32,18.00,50.75,169.81,61.13
4/29/2019,204.61,244.28,1287.58,2888.21,18.19,51.44,171.50,62.46
4/26/2019,204.30,243.82,1272.18,2878.20,18.25,51.38,172.10,62.78
4/25/2019,205.28,245.60,1263.45,2895.77,18.30,51.39,172.74,63.21
4/24/2019,207.16,247.96,1256.00,2892.74,18.15,50.96,171.22,62.10
4/23/2019,207.48,245.58,1264.55,2879.39,18.11,51.11,170.71,61.75
4/22/2019,204.53,243.42,1248.84,2873.40,17.85,50.55,168.26,59.94
4/18/2019,203.86,245.81,1236.37,2867.24,17.64,50.06,166.32,58.54
4/17/2019,203.13,245.56,1236.34,2867.19,17.63,49.94,166.32,58.49
4/16/2019,199.25,245.34,1227.13,2834.40,17.70,50.22,167.00,58.98
4/15/2019,199.23,246.33,1221.10,2815.44,17.98,51.17,169.47,60.75
4/12/2019,198.87,241.95,1217.87,2805.37,17.93,50.78,169.12,60.53
4/11/2019,198.95,241.24,1204.62,2818.46,17.93,50.88,168.98,60.37
4/10/2019,200.62,245.61,1202.16,2798.36,17.58,50.05,165.82,58.14
4/9/2019,199.50,244.91,1197.25,2800.71,17.16,48.81,161.80,55.31
4/8/2019,200.10,246.52,1203.84,2854.88,17.13,48.62,161.55,55.03
4/5/2019,197.00,245.87,1207.15,2824.23,17.22,48.99,162.40,55.67
4/4/2019,195.69,244.40,1215.00,2832.57,17.04,48.23,160.63,54.47
4/3/2019,195.35,242.48,1205.92,2832.94,16.86,47.44,159.04,53.29
4/2/2019,194.02,240.50,1200.49,2822.48,16.88,47.60,159.12,53.39
4/1/2019,191.24,244.19,1194.43,2808.48,16.70,47.16,157.49,52.24
3/29/2019,189.95,242.14,1173.31,2810.92,17.05,48.31,160.83,54.50
3/28/2019,188.72,241.22,1168.49,2791.52,17.14,48.47,161.66,55.09
3/27/2019,188.47,239.41,1173.02,2783.30,17.12,48.34,161.51,54.95
3/26/2019,186.79,239.07,1184.62,2743.07,17.12,48.31,161.48,55.04
3/25/2019,188.74,236.97,1193.00,2748.93,17.21,48.64,162.20,55.46
3/22/2019,191.05,237.56,1205.50,2771.45,17.22,48.46,162.36,55.51
3/21/2019,195.09,239.54,1231.54,2789.65,17.34,49.13,163.53,56.33
3/20/2019,188.16,236.98,1223.97,2792.81,17.24,48.65,162.57,55.60
3/19/2019,186.53,237.05,1198.85,2803.69,17.32,48.89,163.27,56.18
3/18/2019,188.02,236.59,1184.26,2784.49,17.29,48.55,163.01,55.98
3/15/2019,186.12,233.60,1184.46,2792.38,17.17,48.12,161.82,55.17
3/14/2019,183.73,233.84,1185.55,2793.90,17.22,48.20,162.36,55.60
3/13/2019,181.71,236.38,1193.32,2796.11,17.15,48.16,161.81,55.10
3/12/2019,180.91,232.96,1193.20,2792.67,17.21,48.04,162.27,55.46
