Trade DATE,BAR,DBP,GLD,UGL,BTC,ADA,ETH,UNI
5/9/2019,18.30,50.83,172.53,63.40,33510.60,1.34,2111.12,20.25
5/8/2019,18.31,51.39,172.69,63.47,33797.40,1.35,2145.89,20.98
5/7/2019,18.31,51.36,172.72,63.48,32866.30,1.33,2120.22,20.44
5/6/2019,18.48,52.59,174.24,64.64,33867.80,1.40,2316.57,22.26
5/3/2019,18.25,51.04,172.14,62.88,34225.60,1.42,2322.72,22.30
5/2/2019,18.21,51.20,171.81,62.67,33687.80,1.40,2196.16,20.07
5/1/2019,17.82,50.09,168.13,59.92,35298.20,1.46,2323.22,20.77
4/30/2019,18.00,50.75,169.81,61.13,34742.80,1.42,2224.70,19.03
4/29/2019,18.19,51.44,171.50,62.46,33813.40,1.40,2154.78,18.22
4/26/2019,18.25,51.38,172.10,62.78,33543.60,1.33,2109.11,17.82
4/25/2019,18.30,51.39,172.74,63.21,35026.90,1.38,2273.84,19.26
4/24/2019,18.15,50.96,171.22,62.10,35834.70,1.37,2158.71,18.54
4/23/2019,18.11,51.11,170.71,61.75,34475.90,1.32,2083.09,17.69
4/22/2019,17.85,50.55,168.26,59.94,34678.50,1.34,1979.88,17.07
4/18/2019,17.64,50.06,166.32,58.54,32243.40,1.25,1830.62,16.11
4/17/2019,17.63,49.94,166.32,58.49,31594.00,1.25,1810.57,15.88
4/16/2019,17.70,50.22,167.00,58.98,34665.80,1.36,1989.14,18.05
4/15/2019,17.98,51.17,169.47,60.75,33674.30,1.25,1968.39,17.80
4/12/2019,17.93,50.78,169.12,60.53,32496.40,1.15,1876.66,16.37
4/11/2019,17.93,50.88,168.98,60.37,31692.00,1.18,1891.18,15.87
4/10/2019,17.58,50.05,165.82,58.14,35595.80,1.43,2243.86,20.71
4/9/2019,17.16,48.81,161.80,55.31,35513.40,1.39,2166.91,19.78
4/8/2019,17.13,48.62,161.55,55.03,35749.40,1.41,2229.53,20.35
4/5/2019,17.22,48.99,162.40,55.67,38052.00,1.48,2371.62,22.17
4/4/2019,17.04,48.23,160.63,54.47,38336.00,1.48,2367.28,21.81
4/3/2019,16.86,47.44,159.04,53.29,40156.10,1.56,2543.83,23.44
4/2/2019,16.88,47.60,159.12,53.39,40529.40,1.58,2581.48,24.16
4/1/2019,16.70,47.16,157.49,52.24,39022.90,1.56,2508.27,23.26
3/29/2019,17.05,48.31,160.83,54.50,35467.50,1.48,2368.47,21.25
3/28/2019,17.14,48.47,161.66,55.09,37314.60,1.44,2351.45,21.85
3/27/2019,17.12,48.34,161.51,54.95,36649.40,1.53,2469.97,23.56
3/26/2019,17.12,48.31,161.48,55.04,37332.20,1.62,2606.23,25.11
3/25/2019,17.21,48.64,162.20,55.46,33382.90,1.59,2510.65,23.43
3/22/2019,17.22,48.46,162.36,55.51,33578.00,1.56,2592.63,24.21
3/21/2019,17.34,49.13,163.53,56.33,35815.40,1.68,2713.66,25.85
3/20/2019,17.24,48.65,162.57,55.60,35520.00,1.66,2628.98,25.61
3/19/2019,17.32,48.89,163.27,56.18,36851.30,1.71,2686.50,26.42
3/18/2019,17.29,48.55,163.01,55.98,39187.30,1.84,2853.35,28.66
3/15/2019,17.17,48.12,161.82,55.17,37555.80,1.75,2706.10,27.63
3/14/2019,17.22,48.20,162.36,55.60,36687.60,1.74,2633.67,27.41
3/13/2019,17.15,48.16,161.81,55.10,37298.60,1.74,2708.47,28.34
3/12/2019,17.21,48.04,162.27,55.46,35652.80,1.58,2386.10,25.74
3/11/2019,17.00,47.55,160.35,54.11,34584.60,1.40,2276.07,23.17
3/8/2019,16.71,46.59,157.57,52.26,35662.50,1.51,2414.29,25.88
3/7/2019,16.96,47.40,160.01,53.89,38417.30,1.65,2735.88,28.44
3/6/2019,17.18,48.09,161.98,55.24,39249.20,1.78,2884.66,29.39
3/5/2019,17.17,47.95,161.90,55.14,38378.30,1.55,2705.09,25.14
3/4/2019,17.32,48.43,163.23,56.07,38750.60,1.55,2646.79,24.61
3/1/2019,17.26,48.34,162.77,55.71,34679.70,1.32,2101.34,16.69
2/28/2019,17.45,48.83,164.52,56.91,37448.30,1.46,2291.60,20.36
2/27/2019,17.31,48.41,163.28,56.06,37297.40,1.55,2433.11,21.90
2/26/2019,17.21,48.00,162.30,55.31,40717.20,1.80,2777.55,26.31
2/25/2019,17.34,48.61,163.44,56.16,36720.50,1.47,2435.69,23.19
2/22/2019,17.26,48.37,162.72,55.66,42897.30,2.01,3377.55,35.04
2/21/2019,17.54,49.19,165.33,57.44,43541.30,2.03,3279.68,33.30
2/20/2019,17.64,49.51,166.37,58.16,46426.40,2.30,3582.12,36.58
2/19/2019,17.60,49.24,165.90,57.80,46708.80,2.17,3641.65,36.59
2/15/2019,17.66,49.48,166.49,58.23,49839.80,2.01,4075.38,40.41
2/14/2019,17.83,50.10,168.13,59.37,49704.60,1.93,3719.62,37.30
2/13/2019,17.72,49.67,167.05,58.63,49384.20,1.57,3811.77,35.90
2/12/2019,17.65,49.39,166.39,58.11,56695.70,1.76,4167.78,38.52
