,BAR,BAR,BAR,BAR,BAR,DBP,DBP,DBP,DBP,DBP,GLD,GLD,GLD,GLD,GLD,UGL,UGL,UGL,UGL,UGL
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,
2021-01-27 00:00:00-05:00,18.32,18.387,18.21,18.295,449243,50.64,50.87,50.37,50.83,1543,172.93,173.52,171.66,172.53,8570059,63.53,63.994,62.6967,63.4,196506
2021-01-28 00:00:00-05:00,18.47,18.52,18.24,18.31,504609,51.58,51.9399,51.0,51.39,9111,174.28,174.73,172.04,172.69,8791153,64.65,64.97,62.88,63.47,162620
2021-01-29 00:00:00-05:00,18.54,18.56,18.31,18.31,262564,52.02,52.145,51.36,51.36,3657,174.87,175.1633,172.67,172.72,9880228,65.03,65.1068,63.48,63.48,135880
2021-02-01 00:00:00-05:00,18.55,18.57,18.455,18.48,444355,53.03,53.1612,52.35,52.59,20849,175.02,175.26,174.06,174.24,8518516,65.21,65.37,64.5,64.6382,152028
2021-02-02 00:00:00-05:00,18.3,18.3,18.1901,18.25,377483,51.201,51.39,51.02,51.04,74842,172.49,172.53,171.51,172.14,6288011,63.16,63.1809,62.4309,62.88,83901
2021-02-03 00:00:00-05:00,18.27,18.29,18.19,18.21,255531,51.34,51.41,51.07,51.2,92668,172.36,172.5901,171.5,171.81,4026179,63.02,63.1697,62.45,62.67,81439
2021-02-04 00:00:00-05:00,17.84,17.85,17.743,17.82,591061,50.12,50.22,49.76,50.09,8972,168.29,168.395,167.34,168.13,12495716,60.05,60.08,59.355,59.92,234232
2021-02-05 00:00:00-05:00,17.9133,18.04,17.89,17.995,338274,50.5313,50.82,50.52,50.7468,5041,168.99,170.18,168.67,169.81,6103735,60.47,61.3873,60.3673,61.13,152299
2021-02-08 00:00:00-05:00,18.24,18.275,18.1811,18.185,411204,51.46,51.59,51.371,51.44,36834,171.9799,172.4,171.49,171.5,6363135,62.74,63.05,62.421,62.46,136967
2021-02-09 00:00:00-05:00,18.29,18.34,18.22,18.2458,442731,51.36,51.53,51.36,51.38,3967,172.57,173.03,171.75,172.1,4769447,63.14,63.46,62.5514,62.78,100075
2021-02-10 00:00:00-05:00,18.36,18.36,18.2414,18.3,303874,51.63,51.65,51.3358,51.3864,14525,173.15,173.22,172.01,172.74,5622433,63.55,63.63,62.71,63.21,151285
2021-02-11 00:00:00-05:00,18.3,18.325,18.105,18.15,402765,51.5,51.52,50.96,50.96,3325,172.7,172.871,170.71,171.22,5748731,63.24,63.35,61.84,62.0974,132303
2021-02-12 00:00:00-05:00,18.06,18.19,18.015,18.105,235502,51.04,51.3482,50.9,51.105,9198,170.29,171.65,169.88,170.71,5563128,61.39,62.41,61.13,61.7477,96635
2021-02-16 00:00:00-05:00,17.84,18.03,17.7861,17.85,1123089,50.4,51.11,50.3501,50.55,12681,168.14,170.065,167.73,168.26,12528268,59.76,61.1914,59.4911,59.94,279438
2021-02-17 00:00:00-05:00,17.69,17.7389,17.59,17.635,422768,50.28,50.3,49.9626,50.055,5377,166.92,167.34,165.85,166.32,10699567,58.96,59.23,58.15,58.54,200462
2021-02-18 00:00:00-05:00,17.7,17.73,17.5711,17.63,270499,50.31,50.31,49.918,49.94,4086,166.98,167.3,165.73,166.32,6943475,58.93,59.12,58.08,58.485,179718
2021-02-19 00:00:00-05:00,17.66,17.8,17.66,17.7,344937,50.22,50.5011,50.1301,50.2213,4057,166.76,167.94,166.6,167.0,7484278,58.79,59.63,58.66,58.98,171162
2021-02-22 00:00:00-05:00,17.86,18.015,17.845,17.98,372080,50.63,51.21,50.63,51.17,3387,168.54,169.89,168.3,169.47,9253534,60.01,61.0321,59.9386,60.75,155764
2021-02-23 00:00:00-05:00,17.96,17.99,17.85,17.93,348136,51.15,51.15,50.68,50.78,8741,169.48,169.74,168.28,169.12,8237885,60.73,60.9,59.93,60.5299,126433
2021-02-24 00:00:00-05:00,17.78,17.93,17.73,17.925,244958,50.45,50.8767,50.341,50.8767,6706,167.65,169.14,167.15,168.98,8205560,59.38,60.49,59.0417,60.365,110413
2021-02-25 00:00:00-05:00,17.69,17.77,17.55,17.58,505979,50.43,50.4301,49.99,50.0531,9091,166.92,167.66,165.45,165.82,15434666,58.84,59.33,57.85,58.14,188567
2021-02-26 00:00:00-05:00,17.5,17.5,17.07,17.16,792214,49.55,49.55,48.465,48.81,4125,165.0,165.1,160.95,161.8,21842955,57.53,57.5392,54.65,55.31,362273
2021-03-01 00:00:00-05:00,17.29,17.32,17.087,17.13,474045,49.08,49.11,48.5,48.62,10183,163.03,163.35,161.16,161.55,13008774,56.01,56.2893,54.79,55.03,145661
2021-03-02 00:00:00-05:00,17.16,17.27,17.1,17.22,369006,48.63,49.14,48.5017,48.99,100178,161.93,162.925,161.22,162.4,10845816,55.32,56.04,54.8621,55.67,137931
2021-03-03 00:00:00-05:00,17.04,17.14,16.915,17.035,318508,48.2469,48.646,47.9,48.23,6803,160.61,161.69,159.485,160.63,12613526,54.45,55.17,53.6301,54.47,354967
2021-03-04 00:00:00-05:00,17.02,17.11,16.8,16.86,359202,48.11,48.37,47.412,47.44,11438,160.6,161.455,158.43,159.04,13126181,54.41,54.945,52.88,53.29,185758
2021-03-05 00:00:00-05:00,16.92,16.94,16.819,16.875,264104,47.43,47.6999,47.43,47.6,2982,159.66,159.82,158.55,159.12,10109444,53.7,53.84,52.97,53.39,169152
2021-03-08 00:00:00-05:00,16.83,16.83,16.67,16.7,400593,47.4,47.4063,47.01,47.155,5051,158.58,158.74,157.1297,157.49,11468831,52.9979,53.02,51.97,52.24,310376
2021-03-09 00:00:00-05:00,17.04,17.0967,17.01,17.05,304794,48.14,48.3105,48.0413,48.3105,4981,160.75,161.2521,160.415,160.83,9570542,54.45,54.7784,54.25,54.4999,196848
2021-03-10 00:00:00-05:00,17.08,17.15,17.0316,17.14,152901,48.31,48.465,48.23,48.465,1287,161.06,161.78,160.66,161.66,7409215,54.62,55.14,54.37,55.09,110877
2021-03-11 00:00:00-05:00,17.11,17.175,17.0887,17.115,220373,48.42,48.464,48.34,48.34,2514,161.47,161.98,161.12,161.51,6074490,54.92,55.182,54.6573,54.95,123142
2021-03-12 00:00:00-05:00,16.91,17.1489,16.9,17.12,177705,47.71,48.32,47.71,48.31,3168,159.54,161.69,159.35,161.48,7963595,53.58,55.08,53.465,55.0399,134573
2021-03-15 00:00:00-04:00,17.2,17.24,17.1219,17.2099,186496,48.46,48.66,48.34,48.635,3449,162.305,162.55,161.43,162.2,7404523,55.47,55.68,54.98,55.4599,76756
2021-03-16 00:00:00-04:00,17.21,17.3,17.165,17.215,235074,48.68,48.68,48.34,48.46,8903,162.36,163.2,161.81,162.36,7298797,55.5,56.0999,55.19,55.51,64034
2021-03-17 00:00:00-04:00,17.21,17.4,17.13,17.335,235699,48.56,49.13,48.3,49.13,2921,162.268,164.15,161.48,163.53,11646477,55.42,56.759,54.98,56.33,160181
2021-03-18 00:00:00-04:00,17.08,17.26,17.08,17.24,680774,48.23,48.6485,48.21,48.6485,2292,161.15,162.82,161.11,162.57,8310784,54.68,55.7699,54.611,55.6,131230
2021-03-19 00:00:00-04:00,17.23,17.33,17.23,17.315,277482,48.595,48.93,48.595,48.887,1373,162.56,163.43,162.4299,163.27,6006842,55.65,56.2599,55.595,56.18,52104
